"제목, 발췌",글쓴이,장르,정리한 날,출판사
편집자를 위한 북디자인,정민영,"디자인, 미술, 예술",2024년 11월 23일,아트북스
대온실 수리 보고서,김금희,소설,2024년 11월 14일,창비
나는 세계와 맞지 않지만,진은영,에세이,2024년 12월 17일,마음산책
퇴근길의 마음,이다혜,에세이,2024년 12월 16일,빅피시
참사는 골목에 머물지 않는다,10.29 이태원 참사 작가기록단,에세이,2024년 12월 12일,창비
친구의 표정,안담,에세이,2024년 12월 6일,위즈덤 하우스
원의독백,임승원,에세이,2024년 11월 5일,필름
씩씩한 포크와 계획적인 나이프,"이영하, 안서영",에세이,2024년 10월 25일,세미콜론
자매일기,"박소영, 박수영",에세이,2024년 10월 24일,무제
눈부신 안부,백수린,소설,2024년 10월 22일,문학동네
여자 둘이 살고 있습니다,"김하나, 황선우",에세이,2024년 10월 17일,이야기장수
이중 하나는 거짓말,김애란,소설,2024년 10월 6일,문학동네
온전히 평등하고 지극히 차별적인,김원영,"교양, 인문",2024년 9월 28일,문학동네
일의 감각,조수용,자기계발,2024년 12월 30일,레퍼런스 바이 비
즐거운 어른,이옥선,에세이,2024년 9월 22일,이야기장수
이 지랄맞음이 쌓여 축제가 되겠지,조승리,에세이,2024년 9월 20일,달
쓰게 될 것,최진영,소설,2024년 9월 7일,안온북스
재능을 돈으로 바꿀 수 있을까,엄주,"에세이, 예술",2024년 9월 1일,위즈덤하우스
좋아하는 일로 지구를 지킬 수 있다면,김주온,인터뷰,2024년 8월 18일,휴머니스트
디스보다 피스,박하재홍,"교양, 인문",2024년 8월 11일,슬로비
그렇게 나는 다시 삶을 선택했다,최지은,에세이,2025년 1월 11일,유선사
노인력,아카세가와 겐페이,"에세이, 예술",2025년 1월 31일,안그라픽스
음악소설집,"김애란, 김연수, 윤성희, 은희경, 편혜영",소설,2024년 8월 9일,프란츠
인터뷰하는 법,장은교,예술,2024년 7월 30일,터틀넥프레스
최소한의 시민,"강남규, 박권일, 신혜림, 이재훈, 장혜영, 정주식",사회정치,2024년 7월 25일,디플롯
"아무튼, 당근마켓",이훤,에세이,2024년 7월 21일,위고
미술 사는 이야기 - 신생공간이라는 사건과,유지원,"미술, 예술",2024년 7월 19일,마티
우리의 활보는 사치가 아니야,김지우,에세이,2024년 7월 3일,휴머니스트
젊치인을 키우고 있습니다,뉴웨이즈,사회정치,2024년 6월 30일,위즈덤하우스
퉤퉤퉤,황국영,에세이,2024년 3월 19일,책사람집
시인들,박참새,"에세이, 인터뷰",2024년 6월 23일,세미콜론
나를 알기 위해서 쓴다,정희진,"교양, 인문",2024년 6월 1일,교양인
조금 더 사랑하는 쪽으로,안미옥,에세이,2024년 5월 28일,창비
나는 지금도 거기 있어,임솔아,소설,2024년 5월 21일,문학동네
오리들,케이트 비턴,사회정치,2024년 5월 12일,김영사
마은의 가게,이서수,소설,2024년 4월 29일,문학과지성사
마법의 디자인,사키모토 신지,"디자인, 미술, 예술",2024년 4월 22일,우듬지
겨울을 지나가다,조해진,소설,2024년 4월 20일,작가정신
"사람이 사람에게, 사람의 말을 이어갑니다",304낭독회,"시, 희곡",2024년 4월 19일,온다프레스
아파도 미안하지 않습니다,조한진희,사회정치,2024년 4월 18일,동녘
적당한 실례,양다솔,에세이,2024년 4월 10일,은행나무
그러나 누군가는 더 검은 밤을 원한다,우다영,소설,2024년 3월 31일,문학과지성사
"좋아 보이는 것들의 비밀, Good Design (5장)",최경원,"디자인, 미술, 예술",2024년 3월 28일,길벗
"좋아 보이는 것들의 비밀, Good Design (4장, 색)",최경원,"디자인, 미술, 예술",2024년 3월 20일,길벗
스탠드업 코미디 대본집,양다솔,에세이,2024년 3월 11일,은행나무
"좋아 보이는 것들의 비밀, Good Design (3장, 형태)",최경원,"디자인, 미술, 예술",2024년 3월 10일,길벗
"좋아 보이는 것들의 비밀, Good Design (2장, 자연)",최경원,"디자인, 미술, 예술",2024년 3월 10일,길벗
보통의 언어들,김이나,에세이,2024년 3월 7일,위즈덤하우스
파견자들,김초엽,소설,2024년 3월 3일,퍼블리온
새벽과 음악,이제니,에세이,2024년 2월 28일,시간의흐름
이 아이는 자라서 이렇게 됩니다,이용한,에세이,2024년 2월 22일,이야기장수
하필 책이 좋아서,"김동신, 신연선, 정세랑",에세이,2024년 2월 20일,북노마드
사랑 밖의 모든 말들,김금희,에세이,2024년 2월 13일,문학동네
각가의 계절,권여선,소설,2024년 2월 2일,문학동네
그렇게 쓰면 아무도 안 읽습니다,전주경,디자인,2024년 1월 29일,윌북
"좋아 보이는 것들의 비밀, Good Design (서론과 1장)",최경원,"디자인, 미술, 예술",2024년 3월 8일,길벗
에디토리얼 씽킹,최혜진,예술,2024년 1월 24일,터틀넥프레스
고통 구경하는 사회,김인정,"에세이, 인문",2024년 1월 20일,웨일북
만화의 이해,스콧 맥클라우드,만화,2024년 1월 18일,비즈앤비즈
엄살원,"안담, 한유리, 곽예인","교양, 인문, 인터뷰",2024년 1월 10일,위고
눈물에는 체력이 놓아있어,한유리,에세이,2024년 1월 6일,중앙북스
여름과 루비,박연준,소설,2023년 12월 26일,은행나무
불안의 밤에 고하는 밤,메트 헤이그,"에세이, 인문",2023년 12월 19일,위즈덤하우스
단 한 사람,"최진영 ",소설,2023년 12월 14일,한겨례출판
"땡스 갓, 잇츠 프라이데이",심너울,소설,2023년 12월 12일,안전가옥
"설자은, 금성으로 돌아오다",정세랑,소설,2023년 12월 7일,문학동네
매일을 헤엄치는 법,이연,에세이,2023년 12월 2일,푸른숲
작업자의 사전,"구구, 서해인",사회정치,2023년 11월 27일,유유히
귀하의 노고에 감사드립니다,"황여정, 최영, 지영, 주원규, 정진영, 장강명, 임성순, 이서수, 염기원, 서유미, 김의경",소설,2023년 11월 21일,문학동네
21세기를 살아가는 반자본주의자를 위한 안내서,에릭 올린 라이트,사회정치,2023년 11월 10일,이매진
음악의 쓰임,조혜림,에세이,2025년 2월 18일,파이퍼프레스
심장보다 단단한 토마토 한 알,고선경,시,2025년 2월 21일,열림원
시티뷰,우신영,소설,2025년 2월 26일,다산책방
영원에 빚을 져서,예소연,소설,2025년 3월 2일,현대문학
터틀넥프레스 사업일기 : BEGINS,김보희,인문,2025년 3월 12일,터틀넥프레스
페인트,이희영,소설,2025년 3월 16일,창비
세계 끝의 버섯 2/2,애나 로왠하운트 칭,인문,2023년 11월 4일,현실문화
i에게,김소연,시,2023년 10월 26일,아침달
우는 나와 우는 우는,하은빈,에세이,2025년 4월 3일,동녘
"우리, 나이 드는 존재","고금숙, 김하나, 김희경, 송은혜, 신혜우, 윤정원, 이라영, 정수윤, 정희진",에세이,2025년 4월 13일,휴머니스트
